date,equity
2025-04-25,99970.010425
2025-04-28,98094.760425
2025-04-29,98383.260425
2025-04-30,98383.260425
2025-05-06,100402.760425
2025-05-07,104586.010425
2025-05-08,108192.260425
2025-05-09,106749.760425
2025-05-12,110356.010425
2025-05-13,108192.260425
2025-05-14,106749.760425
2025-05-15,104730.260425
2025-05-16,104153.260425
2025-05-19,107615.260425
2025-05-20,106749.760425
2025-05-21,105163.010425
2025-05-22,104441.760425
2025-05-23,103143.510425
2025-05-26,105163.010425
2025-05-27,105740.010425
2025-05-28,104586.010425
2025-05-29,106894.010425
2025-05-30,106461.260425
2025-06-03,106894.010425
2025-06-04,106749.760425
2025-06-05,107038.260425
2025-06-06,107038.260425
2025-06-09,107903.760425
2025-06-10,105595.760425
2025-06-11,105740.010425
2025-06-12,104874.510425
2025-06-13,106461.260425
2025-06-16,106461.260425
2025-06-17,107326.760425
2025-06-18,107615.260425
2025-06-19,105451.510425
2025-06-20,104441.760425
2025-06-23,114827.760425
2025-06-24,112519.760425
2025-06-25,114539.260425
2025-06-26,115837.51042499999
2025-06-27,117424.26042500001
2025-06-30,121174.760425
2025-07-01,120561.58252499999
2025-07-02,120561.58252499999
2025-07-03,120561.58252499999
2025-07-04,120561.58252499999
2025-07-07,120561.58252499999
2025-07-08,120561.58252499999
2025-07-09,120561.58252499999
2025-07-10,120561.58252499999
2025-07-11,120561.58252499999
2025-07-14,120561.58252499999
2025-07-15,120561.58252499999
2025-07-16,120561.58252499999
2025-07-17,120561.58252499999
2025-07-18,120561.58252499999
2025-07-21,120561.58252499999
2025-07-22,120561.58252499999
2025-07-23,120561.58252499999
2025-07-24,120561.58252499999
2025-07-25,120561.58252499999
2025-07-28,120561.58252499999
2025-07-29,120561.58252499999
2025-07-30,120561.58252499999
2025-07-31,120561.58252499999
2025-08-01,120561.58252499999
2025-08-04,120561.58252499999
2025-08-05,120561.58252499999
2025-08-06,120561.58252499999
2025-08-07,120561.58252499999
2025-08-08,120561.58252499999
2025-08-11,120561.58252499999
2025-08-12,120561.58252499999
2025-08-13,120561.58252499999
2025-08-14,120561.58252499999
2025-08-15,120561.58252499999
2025-08-18,120561.58252499999
2025-08-19,120561.58252499999
2025-08-20,120561.58252499999
2025-08-21,120561.58252499999
2025-08-22,120561.58252499999
2025-08-25,120561.58252499999
2025-08-26,120561.58252499999
2025-08-27,120561.58252499999
2025-08-28,120561.58252499999
2025-08-29,120561.58252499999
2025-09-01,120561.58252499999
2025-09-02,120561.58252499999
2025-09-03,120561.58252499999
2025-09-04,120561.58252499999
