date,equity
2025-04-25,100000.0
2025-04-28,100000.0
2025-04-29,100000.0
2025-04-30,100000.0
2025-05-06,100000.0
2025-05-07,100000.0
2025-05-08,100000.0
2025-05-09,100000.0
2025-05-12,100000.0
2025-05-13,100000.0
2025-05-14,100000.0
2025-05-15,100000.0
2025-05-16,100000.0
2025-05-19,100000.0
2025-05-20,100000.0
2025-05-21,100000.0
2025-05-22,100000.0
2025-05-23,100000.0
2025-05-26,100000.0
2025-05-27,100000.0
2025-05-28,100000.0
2025-05-29,100000.0
2025-05-30,100000.0
2025-06-03,100000.0
2025-06-04,100000.0
2025-06-05,100000.0
2025-06-06,100000.0
2025-06-09,100000.0
2025-06-10,100000.0
2025-06-11,100000.0
2025-06-12,100000.0
2025-06-13,100000.0
2025-06-16,100000.0
2025-06-17,99970.010848
2025-06-18,100238.73084799999
2025-06-19,98223.33084799998
2025-06-20,97282.810848
2025-06-23,106956.73084799999
2025-06-24,104806.970848
2025-06-25,106688.010848
2025-06-26,107897.25084799998
2025-06-27,109375.210848
2025-06-30,112868.570848
2025-07-01,112331.13084799999
2025-07-02,109106.49084799999
2025-07-03,109643.93084799999
2025-07-04,108434.690848
2025-07-07,107897.25084799998
2025-07-08,108031.61084799998
2025-07-09,107494.170848
2025-07-10,107762.890848
2025-07-11,108165.970848
2025-07-14,107494.170848
2025-07-15,102223.45646
2025-07-16,102223.45646
2025-07-17,102223.45646
2025-07-18,102223.45646
2025-07-21,102223.45646
2025-07-22,102223.45646
2025-07-23,102223.45646
2025-07-24,102223.45646
2025-07-25,102223.45646
2025-07-28,102192.798932
2025-07-29,102809.89893200001
2025-07-30,101205.438932
2025-07-31,100464.91893200002
2025-08-01,99971.23893200001
2025-08-04,102439.63893200002
2025-08-05,103180.158932
2025-08-06,105278.298932
2025-08-07,105031.45893200001
2025-08-08,105895.39893200001
2025-08-11,108116.95893200001
2025-08-12,112313.23893200001
2025-08-13,113917.69893200001
2025-08-14,107870.11893200001
2025-08-15,107253.018932
2025-08-18,106882.75893200001
2025-08-19,106142.23893200001
2025-08-20,106635.91893200002
2025-08-21,106389.078932
2025-08-22,107376.438932
2025-08-25,111202.45893200001
2025-08-26,109474.578932
2025-08-27,105278.298932
2025-08-28,108116.95893200001
2025-08-29,108363.798932
2025-09-01,106882.75893200001
2025-09-02,104259.651962
2025-09-03,104259.651962
2025-09-04,104259.651962
2025-09-05,104259.651962
2025-09-08,104259.651962
2025-09-09,104259.651962
2025-09-10,104259.651962
2025-09-11,104259.651962
2025-09-12,104259.651962
2025-09-15,104259.651962
2025-09-16,104259.651962
2025-09-17,104259.651962
2025-09-18,104259.651962
2025-09-19,104259.651962
2025-09-22,104259.651962
2025-09-23,104259.651962
2025-09-24,104259.651962
2025-09-25,104259.651962
2025-09-26,104259.651962
2025-09-29,104259.651962
2025-09-30,104259.651962
2025-10-09,104259.651962
2025-10-10,104259.651962
2025-10-13,104259.651962
2025-10-14,104228.38569800001
2025-10-15,103826.50569800001
2025-10-16,102218.985698
2025-10-17,100179.52507400002
2025-10-20,100179.52507400002
2025-10-21,100179.52507400002
2025-10-22,100179.52507400002
2025-10-23,100179.52507400002
2025-10-24,100149.48037400002
2025-10-27,100902.480374
2025-10-28,110942.48037400002
2025-10-29,109812.98037400002
2025-10-30,107930.48037400002
2025-10-31,105043.980374
2025-11-03,107930.48037400002
2025-11-04,112699.48037400002
2025-11-05,110565.98037400002
2025-11-06,108557.98037400002
2025-11-07,108808.98037400002
2025-11-10,107051.980374
2025-11-11,106298.98037400004
2025-11-12,106424.48037400002
2025-11-13,107302.98037400004
2025-11-14,118095.98037400002
2025-11-17,129892.98037400002
2025-11-18,142944.98037400004
2025-11-19,157251.98037400004
2025-11-20,172939.48037400004
2025-11-21,155620.48037400004
2025-11-24,171182.48037400004
2025-11-25,176955.48037400004
2025-11-26,159259.98037400004
2025-11-27,154114.48037400004
2025-11-28,169550.98037400004
2025-12-01,186493.48037400004
2025-12-02,205192.98037400004
2025-12-03,215860.48037400004
2025-12-04,234685.48037400004
2025-12-05,258153.98037400004
2025-12-08,276100.48037400004
2025-12-09,277731.98037400004
2025-12-10,260287.48037399998
2025-12-11,254137.98037400004
2025-12-12,267440.98037400004
2025-12-15,270452.98037400004
2025-12-16,287771.98037400004
2025-12-17,264177.98037400004
2025-12-18,269197.98037400004
2025-12-19,279865.48037400004
2025-12-22,286767.98037400004
2025-12-23,286140.48037400004
2025-12-24,312871.98037400004
2025-12-25,321280.48037400004
2025-12-26,353408.48037400004
2025-12-29,388799.48037400004
2025-12-30,376625.98037400004
2025-12-31,414275.98037400004
2026-01-05,415154.48037400004
2026-01-06,427704.48037400004
2026-01-07,460585.4803740001
2026-01-08,462216.98037400004
2026-01-09,474139.48037400004
2026-01-12,502000.48037400004
2026-01-13,451800.48037400004
2026-01-14,407498.98037400004
2026-01-15,377002.48037400004
2026-01-16,381520.48037400004
2026-01-19,362695.48037400004
2026-01-20,337619.66422400007
2026-01-21,337619.66422400007
2026-01-22,337619.66422400007
2026-01-23,337619.66422400007
2026-01-26,337619.66422400007
2026-01-27,337619.66422400007
2026-01-28,337619.66422400007
2026-01-29,337619.66422400007
2026-01-30,337619.66422400007
2026-02-02,337619.66422400007
2026-02-03,337619.66422400007
2026-02-04,337619.66422400007
2026-02-05,337518.41302400007
2026-02-06,320115.8630240001
2026-02-09,320010.39302400005
2026-02-10,300603.91302400007
2026-02-11,295330.41302400007
