date,action,price,shares,cost,revenue
2025-06-17,buy,7.44,13436,99993.829152,
2025-07-15,sell,7.61,13436,,102217.285612
2025-07-28,buy,8.28,12342,102222.41752799999,
2025-09-02,sell,8.45,12342,,104258.61303
2025-10-14,buy,7.78,13396,104252.146264,
2025-10-17,sell,7.48,13396,,100172.01937600001
2025-10-24,buy,7.98,12550,100179.0447,
2026-01-20,sell,26.91,12550,,337619.18385000003
2026-02-05,buy,32.0,10547,337605.2512,
2026-02-13,sell,28.1,10547,,296281.78879
2026-02-27,buy,30.75,9632,296272.8552,
2026-03-20,sell,28.0,9632,,269615.0912
2026-04-20,buy,28.75,9375,269612.109375,
2026-04-24,sell,26.3,9375,,246488.53125
