date,action,price,shares,cost,revenue
2025-05-07,buy,7.25,13788,99992.9889,
2025-05-22,sell,7.24,13788,,99795.17246400002
2025-06-09,buy,7.48,13338,99798.170472,
2025-06-10,sell,7.32,13338,,97604.86975200001
2025-06-23,buy,7.96,12258,97602.952104,
2025-07-09,sell,8.0,12258,,98034.5808
2025-07-28,buy,8.28,11837,98039.76310799998,
2025-08-19,sell,8.6,11837,,101767.66054
2025-10-09,buy,7.8,13043,101765.92061999999,
2025-11-13,sell,8.55,13043,,111484.19470500002
2025-11-14,buy,9.41,11844,111485.47561200001,
2025-12-22,sell,22.85,11844,,270554.20938
2025-12-24,buy,24.93,10849,270546.709671,
2026-01-15,sell,30.04,10849,,325806.188812
2026-02-05,buy,32.0,10178,325793.70879999996,
2026-02-06,sell,30.35,10178,,308809.62931
2026-03-02,buy,31.99,9651,308828.11064699996,
2026-03-03,sell,29.02,9651,,279987.99839400005
2026-03-05,buy,31.61,8855,279990.52196499996,
2026-03-17,sell,30.49,8855,,269907.953315
2026-04-15,buy,27.67,9751,269891.11305100005,
2026-04-24,sell,26.3,9751,,256374.36461000002
